line_id,invoice_id,product_id,description,quantity,unit_price,discount_pct,line_total
93cf8d04-5603-4521-b378-855c741fad30,f20da224-4487-4537-8c18-04128a6cfa8e,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- February 2021,1,1199.0,0.0,1199.0
51ba7142-b6e8-4374-afb2-b9dbede09149,d5559a33-4dd9-4a3c-aacb-c25b6328b627,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- March 2021,1,1199.0,0.0,1199.0
becd059f-b7d7-43bb-b328-d77d91efa925,131c85e2-c20f-4c65-828d-4dc1a98ae28f,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- April 2021,1,1199.0,0.0,1199.0
f9941860-6ac6-40d0-abce-15307faced87,69187955-f53e-450b-8560-e8c21d35523d,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- May 2021,1,1199.0,0.0,1199.0
665b3e65-07db-4929-bf40-3f4559c02e9f,c324b824-b185-47af-9109-bd6a22ec1788,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- June 2021,1,1199.0,0.0,1199.0
706fe89b-a373-409e-9712-456d39ee738d,fc3e3c7f-9dde-46bf-9758-61fc637d0eec,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- July 2021,1,1199.0,0.0,1199.0
9510886d-db3b-496d-9256-9a0360241b9f,c7859116-ba5d-4289-ab26-29180389e2eb,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- August 2021,1,1199.0,0.0,1199.0
b623f11f-2915-4fdf-ae9e-036c7206e164,768f38c0-fcd0-40ce-9177-63fbc62cfe68,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- September 2021,1,1199.0,0.0,1199.0
041374e9-7d3a-4f4d-88be-f974f0fc9fd5,81f25c19-c303-47f6-9d1d-65375df769de,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- October 2021,1,1199.0,0.0,1199.0
6dcd5d48-e18d-4e33-bf00-959bc9126dd2,13d7ed03-2e4e-4d88-a641-7a6f6a8bc05d,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- November 2021,1,1199.0,0.0,1199.0
3598f1e3-6715-416c-9bb0-2930ddf032ba,0b905023-465b-402a-bade-bf619d0eab8c,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- December 2021,1,1199.0,0.0,1199.0
90cef7d9-b25e-405a-8274-3a130b435aef,6932a336-a481-4c6b-9f2b-2864001f0859,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- January 2022,1,1199.0,0.0,1199.0
7cb4cc83-560d-4531-ab51-4e35782dab09,a17d6e79-4a80-4f7f-81a3-044d6c90040e,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- February 2022,1,1199.0,0.0,1199.0
94c3ee52-de85-49e8-9157-47ed19c99090,18b71cc8-655f-473c-851c-fe1e4feaf4ac,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- March 2022,1,1199.0,0.0,1199.0
8030872b-cabd-4144-b248-6873802fce56,3936e4ae-42d6-46c4-8a47-bc11fa6a19bd,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- April 2022,1,1199.0,0.0,1199.0
12e3999a-cf26-4151-95f8-5697f1af09fd,c2e43232-96b4-4f07-86e8-9137781c6005,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- May 2022,1,1199.0,0.0,1199.0
617c6ee7-c0d8-4f1c-9508-76c0fd8f3f3a,d20f69cb-5451-449d-9ff0-87bce250f38d,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- June 2022,1,1199.0,0.0,1199.0
c4745b91-f22d-4547-b934-b11596dfa25e,cd345ca3-7438-4856-a95e-815f758461c4,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- July 2022,1,1199.0,0.0,1199.0
38c5fac5-4570-42af-813f-785b5af39741,645c6225-067e-4070-bd73-17d4f55996fb,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- August 2022,1,1199.0,0.0,1199.0
859ad986-dcc2-494a-8655-456728b128af,9177405a-a5de-412d-be46-f08e09b757cb,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- September 2022,1,1199.0,0.0,1199.0
423d09cb-b9fd-4ffe-96b4-532f7ef94327,4bf12139-fbca-45cd-8d46-0f5e411bd7ae,58c8fb57-4bff-422d-9b08-8e3f27d2d550,Business -- October 2022,1,1199.0,0.0,1199.0
