customer_id,company_name,industry,segment,region,billing_email,credit_limit,created_at,is_active
49fe403a-b3c9-4076-ac86-06cc4ab5b11a,"Rodriguez, Figueroa and Sanchez",FinTech,SMB,Southeast,jillrhodes@miller.com,250000,2021-02-14,True
446c7ae9-63fa-4eb1-bb1c-c954e71bd50e,Wagner Inc,HealthTech,Mid-Market,Northeast,jennifermiles@robinson-lawrence.com,250000,2021-08-03,True
e846ccf2-758d-42e3-b701-b82e3d74046a,Wolfe LLC,FinTech,SMB,West,eric51@james.com,50000,2021-02-22,True
84e78361-c4a5-4f8c-8c80-cda13f632835,"Baker, Williams and Stevens",HR Tech,Mid-Market,International,dudleynicholas@carter.com,100000,2021-02-10,True
5e90e81e-599a-4efc-945c-4fb069ec795e,"Lee, Jones and Stanley",HR Tech,Mid-Market,Northeast,tracie31@ramirez-reid.com,10000,2021-04-30,False
0c40fbbe-029d-45fc-abc6-d2579e90708d,Wood and Sons,PropTech,SMB,Midwest,jacqueline19@jackson.biz,10000,2021-11-08,True
f9d6ef15-341d-4733-a775-0bf95c8e23ef,Mayo-Bowman,E-Commerce,SMB,International,gabriellecameron@perez.com,50000,2021-01-29,True
54d21cb5-bd21-4495-8d99-fa037d353f62,Adams-Clark,HR Tech,SMB,Southwest,jason76@ellis.net,100000,2021-07-22,False
aad92c67-2331-4623-8370-5cfb12d58d41,"Baker, Richards and Hurst",EdTech,SMB,Southwest,icox@snyder.com,100000,2021-10-26,True
c02e9bb2-8caa-454d-b678-dbdc569a65d3,"Moore, Becker and Carlson",EdTech,SMB,Northeast,djames@king.com,25000,2021-12-15,True
3e29dd0a-fb1a-414f-8387-3bf73f2a39f1,"Dyer, Potter and Mack",InsurTech,SMB,Midwest,daniel62@smith-bowen.com,10000,2021-12-15,True
15b48e3a-79d3-4ef4-8b19-017657df61fe,"Gill, Romero and Rodriguez",Legal Tech,SMB,Midwest,meagan89@hernandez.net,50000,2021-09-14,True
5d124ae1-0f39-4b49-80a8-30d419343013,"Sellers, George and Burns",HealthTech,SMB,International,hickmannatasha@allen-allen.org,50000,2021-03-24,True
ce852300-dbe8-4307-8fd0-200a50b22e0f,Miller Group,FinTech,SMB,Northeast,spenceamanda@anderson.net,50000,2021-05-03,True
3d7edd51-84d3-42e4-96f4-e3fe36f59890,Baker PLC,HealthTech,SMB,Northeast,ibrandt@vaughn.com,25000,2021-03-07,True
3e191653-16bd-4b24-bea7-a8636a56313c,Lam-Hayes,EdTech,Enterprise,West,jeffreymorgan@spencer.com,25000,2021-06-09,True
b4a28cee-48ac-43d0-bb0d-500e9ae8decf,Jones Inc,HR Tech,Mid-Market,Northeast,chad34@washington.org,10000,2021-10-29,True
5b95e2d5-a83f-4577-9f1e-66343f8bfcf8,"Kennedy, Mueller and Aguirre",FinTech,Mid-Market,Southeast,clintonhopkins@henderson-owens.com,50000,2021-02-06,True
8c2fb6d1-2419-4ec7-adb3-0cfb0b0f4e2a,"Valdez, Lucas and Brown",PropTech,SMB,Southwest,lauren13@lee.com,100000,2021-07-28,True
b194f822-6730-4207-bd15-ab1e077514d9,White-Ford,InsurTech,SMB,International,ramosmichelle@garcia.com,10000,2021-02-01,True
480d64f5-62b2-4d48-883a-70cb842159b5,House and Sons,HealthTech,SMB,West,richardolson@barrera-martin.com,100000,2021-05-08,False
b7863351-b06e-4980-843e-831000c914ea,Baker-Bowers,HealthTech,Enterprise,Northeast,smitchell@cowan.com,25000,2021-03-27,True
c01e254a-556e-4537-8f43-a69da1586d81,Phillips Inc,InsurTech,SMB,Northeast,adkinsbrian@woods.com,100000,2021-05-27,True
bba0d79d-0006-44a5-931a-1516732765e3,"Miller, Lopez and Larson",PropTech,SMB,Northeast,richarddavid@sanchez.biz,50000,2021-01-30,True
