invoice_id,customer_id,subscription_id,sales_rep_id,invoice_type,invoice_date,due_date,status,total_amount,currency,created_at
f20da224-4487-4537-8c18-04128a6cfa8e,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,5a083476-3d7e-4dbe-ad27-901eacc49de6,Subscription,2021-02-01,2021-03-03,Overdue,1199.0,USD,2021-02-01
d5559a33-4dd9-4a3c-aacb-c25b6328b627,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,2f1a010e-766a-49c5-8c83-88895749e582,Subscription,2021-03-01,2021-03-31,Paid,1199.0,USD,2021-03-01
131c85e2-c20f-4c65-828d-4dc1a98ae28f,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,2c9f6479-ee3d-4688-9ffe-b1be3bcd0563,Subscription,2021-04-01,2021-05-01,Paid,1199.0,USD,2021-04-01
69187955-f53e-450b-8560-e8c21d35523d,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,2f1a010e-766a-49c5-8c83-88895749e582,Subscription,2021-05-01,2021-05-31,Paid,1199.0,USD,2021-05-01
c324b824-b185-47af-9109-bd6a22ec1788,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,79fd4b59-f7ba-4f96-a37c-4ccdfbe11de6,Subscription,2021-06-01,2021-07-01,Paid,1199.0,USD,2021-06-01
fc3e3c7f-9dde-46bf-9758-61fc637d0eec,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,febd3702-75bb-4d31-9406-06d6077e77cb,Subscription,2021-07-01,2021-07-31,Paid,1199.0,USD,2021-07-01
c7859116-ba5d-4289-ab26-29180389e2eb,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,61f93895-346c-4a06-9d7c-90614153bbb6,Subscription,2021-08-01,2021-08-31,Paid,1199.0,USD,2021-08-01
768f38c0-fcd0-40ce-9177-63fbc62cfe68,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,b3306055-139e-47d2-886b-68934f2929de,Subscription,2021-09-01,2021-10-01,Paid,1199.0,USD,2021-09-01
81f25c19-c303-47f6-9d1d-65375df769de,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,5a083476-3d7e-4dbe-ad27-901eacc49de6,Subscription,2021-10-01,2021-10-31,Overdue,1199.0,USD,2021-10-01
13d7ed03-2e4e-4d88-a641-7a6f6a8bc05d,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,2f1a010e-766a-49c5-8c83-88895749e582,Subscription,2021-11-01,2021-12-01,Paid,1199.0,USD,2021-11-01
0b905023-465b-402a-bade-bf619d0eab8c,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,61f93895-346c-4a06-9d7c-90614153bbb6,Subscription,2021-12-01,2021-12-31,Paid,1199.0,USD,2021-12-01
6932a336-a481-4c6b-9f2b-2864001f0859,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,46e02a49-1185-47e6-970d-da04bf292e8f,Subscription,2022-01-01,2022-01-31,Paid,1199.0,USD,2022-01-01
a17d6e79-4a80-4f7f-81a3-044d6c90040e,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,e63c13c3-8f6b-4adc-94ed-97c49dd65a79,Subscription,2022-02-01,2022-03-03,Paid,1199.0,USD,2022-02-01
18b71cc8-655f-473c-851c-fe1e4feaf4ac,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,768eac63-6647-4acb-9db3-0b7cd9858d17,Subscription,2022-03-01,2022-03-31,Paid,1199.0,USD,2022-03-01
3936e4ae-42d6-46c4-8a47-bc11fa6a19bd,49fe403a-b3c9-4076-ac86-06cc4ab5b11a,1d2dd58f-cacb-4121-90fe-20e84340bd58,b3306055-139e-47d2-886b-68934f2929de,Subscription,2022-04-01,2022-05-01,Overdue,1199.0,USD,2022-04-01
