subscription_id,customer_id,product_id,plan_name,status,mrr,start_date,end_date,created_at,updated_at
1a726f38-2f28-4aa7-b815-6efe618dfc84,94366ae4-c6b2-4556-bb46-8c8df9354f71,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Active,599.0,2021-03-25,,2021-03-25,2024-12-31
9fb19dd8-1087-47dc-895f-b9e9faf3cc6e,5bc74bb5-2227-46fa-bfc4-aea79c4607c5,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Active,299.0,2021-08-08,,2021-08-08,2024-12-31
76f838ba-69b4-4517-9c4c-1223bd80a94f,26867c91-78c1-4fc7-9af8-daf60a13a0c6,218e59b8-3a8d-4ece-af11-1653231cdfac,Business,Churned,1199.0,2021-05-10,2024-03-01,2021-05-10,2024-03-01
7354ea74-9298-472e-a46a-7a3c21093138,0998cb51-d2ef-4285-baa7-ab7ee473007d,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Active,299.0,2021-09-08,,2021-09-08,2024-12-31
07907332-94ac-4dcc-8e08-cb7c17293df7,e52ef2ae-510c-47ae-bdb4-69e183049815,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Churned,599.0,2021-05-07,2021-09-01,2021-05-07,2021-09-01
a3fd65eb-993c-409c-9593-e67d947e25a1,16389580-81b8-40aa-a866-47160954a17b,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Active,295.07,2021-06-02,,2021-06-02,2024-12-31
793c4f65-a882-4b39-8f7b-b1bcc010e553,b013178b-a14f-4987-8005-9c83267b685a,7c6ac241-382d-48e4-81da-fafc21f9b832,Starter,Active,99.0,2021-11-10,,2021-11-10,2024-12-31
56deba3f-7eda-47a5-9d8b-aa7f88f3b359,b6d69626-9fd9-4d64-b7dd-f075bb3145f6,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Active,599.0,2021-02-18,,2021-02-18,2024-12-31
194c89d3-f4fd-4de3-b15b-8b238dd70e95,444a50f9-ebd1-421d-bba8-12c9901933e4,218e59b8-3a8d-4ece-af11-1653231cdfac,Business,Active,1199.0,2021-05-18,,2021-05-18,2024-12-31
405636de-bc7a-442c-a65d-e566fa4a08a4,e66f6c84-c592-405a-bb05-9b9f4ab73dff,bbf612a5-ae54-4831-896d-8283116e4125,Enterprise,Active,2265.38,2021-11-07,,2021-11-07,2024-12-31
84591ea1-9803-462b-90bc-13f59ce993ca,fa154336-4ff5-46c5-b0b3-0795667b7a6b,218e59b8-3a8d-4ece-af11-1653231cdfac,Business,Churned,1199.0,2021-02-24,2021-11-01,2021-02-24,2021-11-01
362c0fc5-e608-4b30-b81d-0c4fe2b1f6dd,69bfa70f-4c3e-48cc-b54e-75143faa7e2a,bbf612a5-ae54-4831-896d-8283116e4125,Enterprise,Churned,2499.0,2021-11-13,2022-06-01,2021-11-13,2022-06-01
fd57983c-a9d5-43af-986c-e0e67bd5bcba,196e6397-d289-4e5a-9607-cd7deab92f8f,bbf612a5-ae54-4831-896d-8283116e4125,Enterprise,Active,2025.1,2021-06-26,,2021-06-26,2024-12-31
b14c2884-fafd-4cd9-9e2b-5ac350f0f438,6f1aa534-6fb3-42ca-9111-c9a3ed3d3dae,bbf612a5-ae54-4831-896d-8283116e4125,Enterprise,Churned,2499.0,2021-10-14,2022-11-01,2021-10-14,2022-11-01
2c6c53bc-3d16-4aa3-af22-c7006442f266,c37cdb31-8853-482d-9c12-c030dbc381d1,bbf612a5-ae54-4831-896d-8283116e4125,Enterprise,Active,2339.12,2021-11-02,,2021-11-02,2024-12-31
6d102525-2fdb-4376-9305-5749ac5b28c0,6cff730f-8bf6-4874-82a7-621229b36b80,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Active,599.0,2021-05-25,,2021-05-25,2024-12-31
9be8d038-19a1-4d3e-9d7c-629df2cb6b1d,07a184eb-b889-44c8-94a8-34f824db4a3d,218e59b8-3a8d-4ece-af11-1653231cdfac,Business,Churned,1199.0,2021-04-10,2022-09-01,2021-04-10,2022-09-01
1b298cad-8c9e-4c26-8598-7cda1ba2bf2f,d4cf9388-ada2-4e8f-baab-2491925378f5,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Churned,233.01,2021-07-07,2021-12-01,2021-07-07,2021-12-01
95ad9f56-9cd4-4d04-923c-94abd848b403,7a063d7c-fe0e-4f09-9344-c5c413ab59d3,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Churned,577.09,2021-11-14,2024-01-01,2021-11-14,2024-01-01
89b8c2c4-c1a1-49b0-baf7-fb1ff6959dcf,602a0838-25b8-419a-973c-edf3716722b4,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Active,299.0,2021-06-11,,2021-06-11,2024-12-31
81acd9fc-473b-4d18-989a-eb2f7e2129f7,b5ea50e1-373a-4fc2-a78b-9e81a8a8410b,7c6ac241-382d-48e4-81da-fafc21f9b832,Starter,Churned,99.0,2021-08-05,2024-10-01,2021-08-05,2024-10-01
6ed74a9e-6d81-4ef0-9062-f20a92c768ea,31ab1285-ba06-4515-b6a7-7f87b64570c5,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Churned,599.0,2021-02-19,2021-08-01,2021-02-19,2021-08-01
33b6caa7-abd3-4254-a529-252077cf14d5,0d1f1aaf-e1ea-47bc-ba27-dc913aa92ca6,218e59b8-3a8d-4ece-af11-1653231cdfac,Business,Churned,1199.0,2021-05-08,2022-07-01,2021-05-08,2022-07-01
b7d91f9a-8e48-4940-a032-807caa40e1f7,8dcd6be1-9a0b-4d05-ade6-3e5bb6620f53,7c6ac241-382d-48e4-81da-fafc21f9b832,Starter,Active,99.0,2021-02-21,,2021-02-21,2024-12-31
5a1d1066-7333-4dc1-a0e8-b96d5079cca5,0457b56d-748e-47de-838a-3c54f3075dce,218e59b8-3a8d-4ece-af11-1653231cdfac,Business,Churned,1199.0,2021-08-13,2024-12-01,2021-08-13,2024-12-01
f83a6cba-2190-4c60-8a9c-4cf3f3b38320,232db2fa-494c-4507-add3-25f506c5de0b,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Active,598.45,2021-04-17,,2021-04-17,2024-12-31
c0f50236-5730-4510-8db2-9575729d3cd3,b11358ad-1d48-4b77-8727-d83df98a8a46,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Active,563.24,2021-10-27,,2021-10-27,2024-12-31
0751d003-3323-4ea9-b7f0-abd35250e050,73777335-702c-4df9-a13f-cf130ef04d93,bbf612a5-ae54-4831-896d-8283116e4125,Enterprise,Active,2405.63,2021-08-21,,2021-08-21,2024-12-31
f7701464-7c40-429d-af41-02e1d44f1793,317a3391-3c79-40b3-9899-7d039fbf6325,bbf612a5-ae54-4831-896d-8283116e4125,Enterprise,Active,2499.0,2021-07-08,,2021-07-08,2024-12-31
b49ca7a8-9530-4793-b4c7-56763680b805,612239d2-3774-4f2d-97ea-f35f2e358cb1,218e59b8-3a8d-4ece-af11-1653231cdfac,Business,Churned,1199.0,2021-09-07,2023-11-01,2021-09-07,2023-11-01
1a3d296e-9e14-46b0-945d-f72e7c4798a6,44c4ed35-85dc-49af-8d86-d07714262f94,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Churned,299.0,2021-03-22,2024-08-01,2021-03-22,2024-08-01
341bb44d-f436-4412-89da-d4930e1b52d3,fe8f01b9-eeaa-49ac-b738-72eda21922d6,218e59b8-3a8d-4ece-af11-1653231cdfac,Business,Active,1199.0,2021-01-29,,2021-01-29,2024-12-31
ee8af8e4-3d5f-4a16-a440-56b4d847d4e2,84a816ad-3858-4c64-a5fc-c007a51d178c,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Active,299.0,2021-04-06,,2021-04-06,2024-12-31
14ee6920-625b-47cd-b929-df4dfddedaf9,2e11ca23-5f9d-4fc0-baa9-75438e23b5b3,7c6ac241-382d-48e4-81da-fafc21f9b832,Starter,Active,99.0,2021-02-23,,2021-02-23,2024-12-31
3f2e21d4-7081-4e5f-9384-4a6e8a945ee7,dfa0411d-4bc6-40f9-bbb6-96d4c5b36266,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Churned,299.0,2021-04-26,2022-07-01,2021-04-26,2022-07-01
9be5cac1-5b63-4da9-9308-e66e9983d52c,18067f81-dded-4b56-9a7c-6da5bae9197f,bbf612a5-ae54-4831-896d-8283116e4125,Enterprise,Active,2499.0,2021-12-09,,2021-12-09,2024-12-31
ecea6066-444b-4d6e-954b-27cc7e2c67f5,fe9cd101-5858-4d6f-9ba5-2c0ab47d9b9c,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Churned,599.0,2021-12-26,2024-12-01,2021-12-26,2024-12-01
ba31f9af-ee83-4b03-9ecc-d75fb69907be,0251b4ac-0f9d-4573-beb4-6b7a37652ea8,bbf612a5-ae54-4831-896d-8283116e4125,Enterprise,Churned,2296.88,2021-08-26,2022-03-01,2021-08-26,2022-03-01
5158c4c6-dfb6-45d5-b162-cb2d65e5175d,f3dc2bfc-b170-493a-9ddc-e614a0c99ba5,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Active,299.0,2021-03-27,,2021-03-27,2024-12-31
d8055a3c-fd2f-4be5-9494-b026c1f8cd6a,0c1565d1-e935-4f0a-8ad3-e95c72f16713,40847d34-411d-4b12-b97b-e7a073dbc347,Growth,Churned,299.0,2021-07-07,2023-06-01,2021-07-07,2023-06-01
1b51d51b-3419-402f-b552-5bc5545beaeb,5903dd61-2b21-405a-9c1c-b197cddde5f1,54e7afe9-2bc5-4dca-9416-b1820582daf3,Pro,Active,592.39,2021-07-28,,2021-07-28,2024-12-31
