payment_id,invoice_id,customer_id,payment_date,amount,payment_method,currency,created_at
d6941bac-5891-422d-9927-d7152524834e,8b2b5d6b-1979-4f8d-a8f5-90d6ba2edaac,94366ae4-c6b2-4556-bb46-8c8df9354f71,2021-04-02,599.0,ACH,USD,2021-04-02
362f4af5-f21d-4883-9e70-6191f153bb07,76a53ddb-1340-4412-bc50-3553431ac54d,94366ae4-c6b2-4556-bb46-8c8df9354f71,2021-06-11,599.0,Check,USD,2021-06-11
180217b8-f4b2-4761-80f4-0a8479f56872,2070d37d-96e9-4c8b-944c-cd2fa850e19e,94366ae4-c6b2-4556-bb46-8c8df9354f71,2021-07-11,599.0,ACH,USD,2021-07-11
b0855ee7-90a7-4c94-8c96-a469008ecf2a,21f1beb9-6785-48c2-bd3a-870e255df012,94366ae4-c6b2-4556-bb46-8c8df9354f71,2021-09-30,599.0,ACH,USD,2021-09-30
768c5a82-9148-46b1-835a-83427f1d282c,7138595c-ecfb-44d7-a838-8c3a310b1697,94366ae4-c6b2-4556-bb46-8c8df9354f71,2021-10-11,599.0,Wire,USD,2021-10-11
08e5ea97-71a0-417c-800b-6b89cdacee03,85f5c339-b066-4d8a-9366-ad1152eccb61,94366ae4-c6b2-4556-bb46-8c8df9354f71,2021-11-13,599.0,Credit Card,USD,2021-11-13
52c33840-c758-4745-8dae-ef5a279002ba,0dcd2275-d5d8-4430-88f8-203fc9206002,94366ae4-c6b2-4556-bb46-8c8df9354f71,2021-12-10,599.0,Check,USD,2021-12-10
e7c7a222-a763-4e56-9c40-e0dfa41f0a73,ef9ee827-404c-4499-966d-a7c64b8fb03b,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-01-21,599.0,Wire,USD,2022-01-21
8ea1e0c3-5378-4f4a-8841-91eb7b288518,23a62fc8-19a6-4ce0-83ba-52e3ccd36938,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-03-20,599.0,ACH,USD,2022-03-20
3ed41f9b-a2b1-4689-ba37-3cd7cc36416b,b1c9868d-39fd-4416-a3db-92def4ea1272,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-04-16,599.0,Credit Card,USD,2022-04-16
7a846d14-b6d5-426c-adfd-9cdf0d9fcf41,3f23b7f4-4ee3-4785-8f25-3887e6d656c6,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-05-19,599.0,Credit Card,USD,2022-05-19
b85d9aca-6b23-4696-bfc1-cfa7a2da876f,d97378c7-29fd-487d-a584-dc95d4c5362f,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-06-27,599.0,Check,USD,2022-06-27
2e1e4b38-bcca-420f-ad24-0dee59df51a6,e6d56626-0437-455e-bdad-ba489a3f7529,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-07-29,599.0,Wire,USD,2022-07-29
c7c751f3-299d-4afc-92e5-4cd76efdc17d,5c49c785-0264-473a-afc1-dc36918c8702,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-08-21,599.0,ACH,USD,2022-08-21
14951258-f20b-41b0-a2af-0731c89693b2,a646bd2b-5fef-4f3d-aae8-4e35cee41c72,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-09-24,599.0,Credit Card,USD,2022-09-24
f0e20aff-1343-4a22-b879-6179e0b37106,0649f70f-2d05-4c9d-9945-082e3330719c,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-10-10,599.0,Check,USD,2022-10-10
638966b1-2b48-4830-8797-7b066d932224,b8abda3b-2d47-4cb9-bb80-3564b9dd55e3,94366ae4-c6b2-4556-bb46-8c8df9354f71,2022-11-12,599.0,Check,usd,2022-11-12
1a31a765-eea3-47c8-8e04-ae32649501a2,90815723-e2f2-486f-a328-d8b491c3ebab,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-01-11,599.0,Credit Card,USD,2023-01-11
458c583e-858a-4ac2-aa08-26d38824af80,3e7ed490-1282-4e4b-8c14-ba9c22c69892,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-03-01,599.0,Credit Card,USD,2023-03-01
bc5f54f6-c840-41ca-90bf-b942b4ba141d,e8545357-f6cc-41ad-95f4-4d5aa2fcb0ab,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-03-09,599.0,Wire,USD,2023-03-09
78d9aaeb-731f-43c2-850d-8486cba6f579,66a58bb2-898f-4205-9b8f-0284b36b916c,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-05-06,599.0,ACH,USD,2023-05-06
ca7564af-63f4-4244-9973-79ae58603885,9acdf287-9bef-4b8c-9ff3-f2615ec848bd,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-05-07,599.0,Check,USD,2023-05-07
8367a4f6-2144-4245-bb37-c80289c67384,565b83c9-3694-42b4-b8a1-d5bdea532a52,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-06-10,599.0,Wire,USD,2023-06-10
e2036d29-05a1-4887-ac39-2b5daf61b0ce,19fa9000-2dba-4c5b-8961-76083cc1e86b,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-07-26,599.0,Check,USD,2023-07-26
298e59a0-3848-4ed2-9890-ddacbf21eb2f,b86c891a-05be-47e8-8011-49bb8cc49194,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-09-16,599.0,Wire,USD,2023-09-16
672e6532-01f5-467d-9960-f1535f205294,8751ed5e-a0b5-4347-bd05-058be86a126a,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-10-11,599.0,ACH,USD,2023-10-11
b6309b88-4cfe-4735-b907-813a8e0b2d61,6a20b8eb-f059-4a11-ba0b-53023ce4ff19,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-11-14,599.0,ACH,USD,2023-11-14
7efe0264-0194-41d1-98dc-c605c9f78888,b2290cf4-8671-4879-b458-e855c3519963,94366ae4-c6b2-4556-bb46-8c8df9354f71,2023-12-07,599.0,Credit Card,USD,2023-12-07
a1c4a591-e671-4ebb-80cf-74aad8d65171,b2056d5c-1ba4-41b7-8877-3b1f4c2f0ce6,94366ae4-c6b2-4556-bb46-8c8df9354f71,2024-02-01,599.0,Credit Card,USD,2024-02-01
dae7fcd4-0ead-4a20-a98c-539436330c21,1e618d06-5e21-4bd1-9adb-17682fe917c8,94366ae4-c6b2-4556-bb46-8c8df9354f71,2024-03-09,599.0,ACH,USD,2024-03-09
d1b9a12e-6ff8-4a9c-98a8-03cab4829fb6,d7b78ac5-aa84-4f59-8d58-75cf7f755e2a,94366ae4-c6b2-4556-bb46-8c8df9354f71,2024-05-02,599.0,Wire,USD,2024-05-02
8c82a5fa-5afd-4d57-837e-7582719c5f36,650d4ed1-2498-459e-9a02-fbea587ac28a,94366ae4-c6b2-4556-bb46-8c8df9354f71,2024-05-07,599.0,ACH,USD,2024-05-07
