invoice_id,customer_id,subscription_id,sales_rep_id,invoice_type,invoice_date,due_date,status,total_amount,currency,created_at
8b2b5d6b-1979-4f8d-a8f5-90d6ba2edaac,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,3864e01c-72bf-4a0b-8e9d-6c5afba4ba2b,Subscription,2021-03-01,2021-03-31,Paid,599.0,USD,2021-03-01
95c79b76-0a8a-402c-9c2b-7591c3c790e3,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,aacfc591-11bb-4b2d-b2eb-11eb32826af5,Subscription,2021-04-01,2021-05-01,Open,599.0,USD,2021-04-01
94319833-1290-4a06-8b11-461c9e769eef,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,bfd313f2-3b32-4425-b96a-6913e73b5ee5,Subscription,2021-05-01,2021-05-31,Overdue,599.0,USD,2021-05-01
76a53ddb-1340-4412-bc50-3553431ac54d,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,aacfc591-11bb-4b2d-b2eb-11eb32826af5,Subscription,2021-06-01,2021-07-01,Paid,599.0,USD,2021-06-01
2070d37d-96e9-4c8b-944c-cd2fa850e19e,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,49ccea83-fbe9-481d-a65f-da055a593453,Subscription,2021-07-01,2021-07-31,Paid,599.0,USD,2021-07-01
bcec1211-329e-4378-9e83-889ae65455b2,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,d5d26ecf-acfb-4245-a8af-de532ef96727,Subscription,2021-08-01,2021-08-31,Open,599.0,USD,2021-08-01
21f1beb9-6785-48c2-bd3a-870e255df012,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,48bb3226-ff55-488a-9193-27dcf197eeb0,Subscription,2021-09-01,2021-10-01,Paid,599.0,USD,2021-09-01
7138595c-ecfb-44d7-a838-8c3a310b1697,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,d5d26ecf-acfb-4245-a8af-de532ef96727,Subscription,2021-10-01,2021-10-31,Paid,599.0,USD,2021-10-01
85f5c339-b066-4d8a-9366-ad1152eccb61,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,d5d26ecf-acfb-4245-a8af-de532ef96727,Subscription,2021-11-01,2021-12-01,Paid,599.0,USD,2021-11-01
0dcd2275-d5d8-4430-88f8-203fc9206002,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,d45e3134-2904-45d4-b71a-88e0dba6ff11,Subscription,2021-12-01,2021-12-31,Paid,599.0,USD,2021-12-01
ef9ee827-404c-4499-966d-a7c64b8fb03b,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,d45e3134-2904-45d4-b71a-88e0dba6ff11,Subscription,2022-01-01,2022-01-31,Paid ,599.0,USD,2022-01-01
4d234329-aec5-444f-821d-e4f81030c7c0,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,c12723ce-0149-468a-9884-6138be620784,Subscription,2022-02-01,2022-03-03,Open,599.0,USD,2022-02-01
23a62fc8-19a6-4ce0-83ba-52e3ccd36938,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,5f78df04-367c-4fee-884d-63b05efda6fe,Subscription,2022-03-01,2022-03-31,Paid,599.0,USD,2022-03-01
b1c9868d-39fd-4416-a3db-92def4ea1272,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,3864e01c-72bf-4a0b-8e9d-6c5afba4ba2b,Subscription,2022-04-01,2022-05-01,Paid,599.0,USD,2022-04-01
3f23b7f4-4ee3-4785-8f25-3887e6d656c6,94366ae4-c6b2-4556-bb46-8c8df9354f71,1a726f38-2f28-4aa7-b815-6efe618dfc84,d45e3134-2904-45d4-b71a-88e0dba6ff11,Subscription,2022-05-01,2022-05-31,Paid,599.0,USD,2022-05-01
